Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;V_weighted;EFA_weighted;AmbientCondPattern;EFA_WTT_weighted;EFA_WTW_weighted
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;MW;URB/MW-Nat./120/Freeflow;0%;81.4265594482422;763.786376953125;;143.202560424805;763.786376953125
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;MW;URB/MW-Nat./120/St+Go;0%;17.4626007080078;1773.41918945313;;334.387390136719;1773.41918945313
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;MW;URB/MW-Nat./130/Freeflow;0%;81.4265594482422;763.786376953125;;143.202560424805;763.786376953125
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;MW;URB/MW-Nat./130/St+Go;0%;17.4626007080078;1773.41918945313;;334.387390136719;1773.41918945313
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;URB/MW-City/100/Freeflow;0%;81.4265594482422;763.786376953125;;143.202560424805;763.786376953125
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;URB/MW-City/100/St+Go;0%;17.4626007080078;1773.41918945313;;334.387390136719;1773.41918945313
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/50/Freeflow;0%;37.2578926086426;720.309997558594;;135.067138671875;720.309997558594
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/50/St+Go;0%;12.2624807357788;1936.38220214844;;365.351104736328;1936.38220214844
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/60/Freeflow;0%;40.4847831726074;833.75537109375;;156.290390014648;833.75537109375
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/60/St+Go;0%;12.2588520050049;1937.62609863281;;365.580078125;1937.62609863281
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/70/Freeflow;0%;53.376392364502;829.484497070313;;155.247406005859;829.484497070313
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/70/St+Go;0%;13.9574632644653;2013.05444335938;;379.767639160156;2013.05444335938
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Rural;URB/Trunk-City/80/Freeflow;0%;58.4192581176758;953.721313476563;;178.669769287109;953.721313476563
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Rural;URB/Trunk-City/80/St+Go;0%;14.9010925292969;1868.26428222656;;352.504364013672;1868.26428222656
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Rural;URB/Trunk-City/90/Freeflow;0%;58.4192581176758;951.278198242188;;178.669769287109;951.278198242188
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Rural;URB/Trunk-City/90/St+Go;0%;14.9010925292969;1868.26428222656;;352.504364013672;1868.26428222656
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;URB/Local/30/Freeflow;0%;26.7850437164307;801.17724609375;;150.720077514648;801.17724609375
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;URB/Local/30/St+Go;0%;9.45668506622314;1949.86096191406;;368.792144775391;1949.86096191406
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;URB/Local/40/Freeflow;0%;33.1996917724609;841.916687011719;;158.240341186523;841.916687011719
hot_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;URB/Local/40/St+Go;0%;11.6623086929321;1795.32580566406;;338.974456787109;1795.32580566406
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;MW;URB/MW-Nat./120/Freeflow;0%;115.939933776855;0.4053801249652507;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;MW;URB/MW-Nat./120/St+Go;0%;17.9176597595215;0.47973551493228306;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;MW;URB/MW-Nat./130/Freeflow;0%;126.037841796875;0.40538011960675413;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;MW;URB/MW-Nat./130/St+Go;0%;17.9153118133545;0.4327715285621617;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;URB/MW-City/100/Freeflow;0%;96.9336471557617;0.4053801026238444;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;URB/MW-City/100/St+Go;0%;17.9206314086914;0.5784816710246483;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/50/Freeflow;0%;49.3581314086914;0.330922526860099;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/50/St+Go;0%;12.4886159896851;0.6366594506809791;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/60/Freeflow;0%;57.2086524963379;0.3309225310410557;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/60/St+Go;0%;12.4886264801025;0.6312713235088367;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/70/Freeflow;0%;65.8327789306641;0.33092254204618526;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/70/St+Go;0%;14.3996248245239;0.610344347663497;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Rural;URB/Trunk-City/80/Freeflow;0%;74.3850402832031;0.330922546316194;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Rural;URB/Trunk-City/80/St+Go;0%;15.4738435745239;0.5742763950309807;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Rural;URB/Trunk-City/90/Freeflow;0%;86.3270492553711;0.33092254932891096;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Rural;URB/Trunk-City/90/St+Go;0%;15.4749660491943;0.5509526499182654;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;URB/Local/30/Freeflow;0%;30.1593742370605;0.41365316911805244;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;URB/Local/30/St+Go;0%;9.62191677093506;0.7867795535486951;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;URB/Local/40/Freeflow;0%;38.1120910644531;0.41365319756757535;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;URB/Local/40/St+Go;0%;11.8271789550781;0.7896341650652899;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;MW;URB/MW-Nat./120/Freeflow;0%;115.939933776855;49.0;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;MW;URB/MW-Nat./120/St+Go;0%;17.9176597595215;57.987649337681205;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;MW;URB/MW-Nat./130/Freeflow;0%;126.037841796875;49.0;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;MW;URB/MW-Nat./130/St+Go;0%;17.9153118133545;52.31091480775769;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;URB/MW-City/100/Freeflow;0%;96.9336471557617;49.0;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;URB/MW-City/100/St+Go;0%;17.9206314086914;69.92351316507106;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/50/Freeflow;0%;49.3581314086914;40.0;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/50/St+Go;0%;12.4886159896851;76.95570620168284;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/60/Freeflow;0%;57.2086524963379;40.0;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/60/St+Go;0%;12.4886264801025;76.30442391953902;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/70/Freeflow;0%;65.8327789306641;40.0;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/70/St+Go;0%;14.3996248245239;73.77488656242846;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Rural;URB/Trunk-City/80/Freeflow;0%;74.3850402832031;40.0;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Rural;URB/Trunk-City/80/St+Go;0%;15.4738435745239;69.41520531588057;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Rural;URB/Trunk-City/90/Freeflow;0%;86.3270492553711;40.0;;;
hot_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Rural;URB/Trunk-City/90/St+Go;0%;15.4749660491943;66.59596395831439;;;
